0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:27 +0530] "GET /collabrationFront/ HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:27 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 200 1322082
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:27 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 200 44927
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:27 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:27 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 200 135904
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:27 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:27 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 200 73995
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:27 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 200 122696
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:28 +0530] "GET /collabrationFront/contactUs.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:32 +0530] "GET /collabrationFront/sign-in.html HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:54 +0530] "GET /collabrationFront/ HTTP/1.1" 200 3914
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:54 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 200 1322082
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:54 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:54 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 200 44927
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:54 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:54 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 200 73995
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:54 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 200 135904
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:54 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 200 122696
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:55 +0530] "GET /collabrationFront/sign-in.html HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:55 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:58 +0530] "GET /collabrationFront/ HTTP/1.1" 200 3914
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:58 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 200 1322082
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:58 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 200 44927
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:58 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:58 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:58 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 200 135904
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:58 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 200 73995
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:58 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 200 122696
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:57:59 +0530] "GET /collabrationFront/sign-in.html HTTP/1.1" 200 1735
